num_filosofos,num_tenedores,tiempo,num_comidas,num_pensamientos
10,10,5.12524151802063,20,20
1005,1005,8.73964548110962,2010,2010
1001,1001,8.57227635383606,2002,2002
1003,1003,8.634337425231934,2006,2006
1010,1010,8.71750259399414,2020,2020
50,50,5.106985569000244,100,100
20,20,5.077967166900635,40,40
10,10,5.059662580490112,20,20
6,6,5.025905609130859,12,12
4,4,5.013288259506226,8,8
2,2,5.093758821487427,4,4
500,500,7.53133487701416,1000,1000
1000,1000,8.555490732192993,2000,2000
